actual_cost,ccg,date,items,quantity,row_id,row_name,setting
2493.03,14L,2014-10-01,500,24469,P84034,BARLOW MEDICAL CENTRE,4
2910.08,14L,2014-10-01,631,22550,P84035,BODEY MEDICAL CENTRE,4
1153.51,14L,2014-10-01,297,16093,P84037,DR CUNNINGHAM & PARTNERS,4
1856.54,14L,2014-10-01,306,18261,P84038,ASHVILLE SURGERY,4
922.32,14L,2014-10-01,211,10850,P84039,THE RANGE MEDICAL CENTRE,4
1821.22,14L,2014-10-01,361,15032,P84040,CONRAN MEDICAL CENTRE,4
1810.01,14L,2014-10-01,475,18701,P84041,CORNERSTONE FAMILY PRACTICE,4
1531.93,14L,2014-10-01,367,16382,P84042,FLORENCE HOUSE MEDICAL PRACTICE,4
2909.65,14L,2014-10-01,527,25801,P84043,CORNISHWAY GROUP PRACTICE,4
1685.17,14L,2014-10-01,385,17334,P84045,THE PARK MEDICAL CENTRE,4
2089.06,14L,2014-10-01,447,21962,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,4
1731.89,14L,2014-10-01,329,12466,P84047,DROYLSDEN RD FAMILY PRACTICE,4
1965.72,14L,2014-10-01,499,17665,P84048,TREGENNA GROUP PRACTICE,4
3215.24,14L,2014-10-01,850,37667,P84049,THE AVENUE MEDICAL CENTRE,4
1538.77,14L,2014-10-01,366,16741,P84050,MOUNT ROAD SURGERY,4
1543.05,14L,2014-10-01,318,15348,P84051,EASTLANDS MEDICAL CENTRE,4
1173.02,14L,2014-10-01,396,17007,P84052,WEST GORTON MEDICAL PRACTICE,4
1732.05,14L,2014-10-01,357,16139,P84053,ASHCROFT SURGERY,4
1884.95,14L,2014-10-01,520,17272,P84054,WHITLEY ROAD MEDICAL CENTRE,4
1084.44,14L,2014-10-01,230,9698,P84055,MERSEYBANK SURGERY,4
971.59,14L,2014-10-01,265,12422,P84056,PRINCESS ROAD SURGERY,4
2682.26,14L,2014-10-01,440,20789,P84059,LIME SQUARE MEDICAL CENTRE,4
1248.33,14L,2014-10-01,218,9732,P84061,BROOKLANDS MEDICAL PRACTICE,4
409.13,14L,2014-10-01,145,5362,P84062,BROOKDALE SURGERY,4
926.46,14L,2014-10-01,197,7470,P84064,NEW ISLINGTON MEDICAL CENTRE,4
1251.67,14L,2014-10-01,270,14835,P84065,THE SINGH MEDICAL PRACTICE,4
1213.82,14L,2014-10-01,293,11371,P84066,DAVID MEDICAL CENTRE,4
2579.77,14L,2014-10-01,505,23580,P84067,HAZELDENE MEDICAL CENTRE,4
2847.2,14L,2014-10-01,306,13614,P84068,CHORLTON FAMILY PRACTICE,4
1661.94,14L,2014-10-01,285,12638,P84070,NEWTON HEATH MEDICAL CENTRE,4
1293.95,14L,2014-10-01,219,8799,P84071,WILBRAHAM SURGERY,4
3134.14,14L,2014-10-01,610,25651,P84072,THE ROBERT DARBISHIRE PRACTICE,4
2476.23,14L,2014-10-01,502,26171,P84074,WELLFIELD MEDICAL CENTRE,4
94.7,14L,2014-10-01,33,1297,P84605,FERNCLOUGH SURGERY,4
1560.09,14L,2014-10-01,266,12871,P84611,"DR CHIU, KOH AND GAN",4
770.03,14L,2014-10-01,190,10215,P84616,MANCHESTER MEDICAL,4
46.11,14L,2014-10-01,25,945,P84623,ALEESHAN MEDICAL CENTRE,4
804.69,14L,2014-10-01,214,8320,P84626,WILMSLOW ROAD SURGERY,4
324.26,14L,2014-10-01,94,3456,P84627,DR TIWARI'S PRACTICE,4
2089.69,14L,2014-10-01,372,15821,P84630,THE ARCH MEDICAL PRACTICE,4
672.74,14L,2014-10-01,145,5508,P84631,ARTANE MEDICAL CENTRE,4
680.15,14L,2014-10-01,135,7276,P84635,THE WHITSWOOD PRACTICE,4
647.44,14L,2014-10-01,146,6726,P84637,DR KHAN'S PRACTICE,4
356.64,14L,2014-10-01,56,2474,P84639,FALLOWFIELD MEDICAL CENTRE,4
669.57,14L,2014-10-01,150,9073,P84640,QUEENS MEDICAL CENTRE,4
875.11,14L,2014-10-01,198,10495,P84644,PARKSIDE SURGERY,4
1774.27,14L,2014-10-01,393,18638,P84645,PARK VIEW MEDICAL CENTRE,4
1049.97,14L,2014-10-01,199,9117,P84650,THE ALEXANDRA PRACTICE,4
827.88,14L,2014-10-01,188,6397,P84651,NORTHERN MOOR MEDICAL PRACTICE,4
2097.82,14L,2014-10-01,360,15195,P84652,CORKLAND ROAD MEDICAL PRACTICE,4
220.37,14L,2014-10-01,84,3931,P84659,DR HUSSAIN'S PRACTICE,4
3773.87,14L,2014-10-01,317,14233,P84663,THE NEVILLE FAMILY CENTRE,4
388.59,14L,2014-10-01,116,4482,P84665,AL-SHIFA MEDICAL CENTRE,4
1571.15,14L,2014-10-01,348,13614,P84669,CORNBROOK MEDICAL PRACTICE,4
969.25,14L,2014-10-01,213,8723,P84672,WOODLANDS MEDICAL PRACTICE,4
1815.39,14L,2014-10-01,463,15731,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,4
1262.07,14L,2014-10-01,199,13234,P84676,OSWALD ROAD MEDICAL PRACTICE,4
707.78,14L,2014-10-01,161,5873,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,4
2048.64,14L,2014-10-01,506,24346,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,4
331.81,14L,2014-10-01,92,4157,P84679,WILLOWBANK SURGERY,4
500.45,14L,2014-10-01,117,4496,P84682,BURNAGE HEALTHCARE PRACTICE,4
805.43,14L,2014-10-01,152,6768,P84683,THE DOC'S SURGERY,4
796.31,14L,2014-10-01,163,7661,P84684,JOLLY MEDICAL CENTRE,4
1095.15,14L,2014-10-01,182,12543,P84689,LONGSIGHT MEDICAL PRACTICE,4
422.33,14L,2014-10-01,158,4739,P84690,DAM HEAD MEDICAL CENTRE,4
2201.05,14L,2014-10-01,585,19931,Y00707,PCEC,1
15.46,14L,2014-10-01,3,40,Y01249,BUCCLEUCH LODGE ICF,0
633.86,14L,2014-10-01,138,6612,Y01695,MP VICTORIA MILL,4
30.39,14L,2014-10-01,8,145,Y02210,INTERMEDIATE CARE,9
138.77,14L,2014-10-01,26,539,Y02211,GORTON PARKS INTERMEDIATE CARE UNIT,9
755.49,14L,2014-10-01,175,10020,Y02325,CHARLESTOWN MD,4
430.99,14L,2014-10-01,74,8797,Y02330,NURSING HOME PROJECT TEAM (SOUTH),14
853.44,14L,2014-10-01,74,3905,Y02520,SIMPSON MEDICAL PRACTICE,4
5002.67,14L,2014-10-01,910,53976,Y02591,GTD HEALTHCARE GP SERVICE OOH,2
2335.73,14L,2014-10-01,689,24726,Y02849,CITY HEALTH CENTRE,4
2553.44,14L,2014-10-01,499,24576,Y02890,HAWTHORN MC,4
1143.64,14L,2014-10-01,246,13786,Y02960,NEW BANK HEALTH,4
9.35,14L,2014-10-01,4,126,Y03328,TURNING POINT SMITHFIELD SERVICE,9
8.31,14L,2014-10-01,5,76,Y04084,PAHNT COMMUNITY SERVICES,9
106.46,14L,2014-10-01,11,1502,Y04086,MFT ADULT COMMUNITY SERVICES,9
6.39,14L,2014-10-01,2,56,Y04087,UHSM COMMUNITY SERVICES,9
11.38,14L,2014-10-01,2,42,Y04380,CRISIS RESPONSE TEAM,9
875.6,14L,2014-10-01,255,13882,Y04477,PRIMARY CARE MANCHESTER LIMITED,0
15.97,14L,2014-10-01,5,262,Y04584,INTERMEDIATE CARE (THE PEELE),0
26.84,14L,2014-10-01,8,165,Y04605,SMGPF,9
2671.05,14L,2014-11-01,386,19905,P84004,FIVE OAKS FAMILIY PRACTICE,4
691.48,14L,2014-11-01,195,8591,P84005,THE VALLANCE CENTRE,4
1518.7,14L,2014-11-01,355,16980,P84009,AILSA CRAIG MEDICAL CENTRE,4
1654.89,14L,2014-11-01,373,17123,P84010,THE BORCHARDT MEDICAL CENTRE,4
2884.93,14L,2014-11-01,634,28188,P84012,NORTHENDEN GROUP PRACTICE,4
1385.19,14L,2014-11-01,382,15751,P84014,RK MEDICAL PRACTICE,4
2517.48,14L,2014-11-01,450,25536,P84016,LEVENSHULME MEDICAL PRACTICE,4
2189.91,14L,2014-11-01,447,18790,P84017,LADYBARN GROUP PRACTICE,4
1635.83,14L,2014-11-01,361,10788,P84018,MAULDETH MEDICAL CENTRE,4
3401.65,14L,2014-11-01,671,27832,P84019,VALENTINE MEDICAL CENTRE,4
2533.89,14L,2014-11-01,502,21972,P84020,PEEL HALL MEDICAL CENTRE,4
2452.49,14L,2014-11-01,489,23493,P84021,THE MAPLES MEDICAL CENTRE,4
1218.55,14L,2014-11-01,247,10552,P84022,KINGSWAY MEDICAL PRACTICE,4
1770.1,14L,2014-11-01,366,17166,P84023,SURREY LODGE PRACTICE,4
3262.41,14L,2014-11-01,697,32357,P84024,BOWLAND MEDICAL PRACTICE,4
2543.25,14L,2014-11-01,547,26413,P84025,ST GEORGE'S MEDICAL CENTRE,4
1061.62,14L,2014-11-01,251,15202,P84026,DICKENSON ROAD MEDICAL CENTRE,4
1324.81,14L,2014-11-01,297,14296,P84027,WEST POINT MEDICAL CENTRE,4
2616.53,14L,2014-11-01,662,27397,P84028,GORTON MEDICAL CENTRE,4
4246.81,14L,2014-11-01,775,37637,P84029,BENCHILL MEDICAL PRACTICE,4
3636.93,14L,2014-11-01,699,40068,P84030,NEW COLLEGIATE MEDICAL CENTRE,4
1545.86,14L,2014-11-01,368,18859,P84032,DRS HANIF & BANNURU,4
1658.22,14L,2014-11-01,294,18549,P84033,BEACON MEDICAL CENTRE,4
2166.85,14L,2014-11-01,489,23238,P84034,BARLOW MEDICAL CENTRE,4
3460.33,14L,2014-11-01,686,28021,P84035,BODEY MEDICAL CENTRE,4
1054.96,14L,2014-11-01,266,16067,P84037,DR CUNNINGHAM & PARTNERS,4
1808.52,14L,2014-11-01,326,17868,P84038,ASHVILLE SURGERY,4
1188.18,14L,2014-11-01,274,11953,P84039,THE RANGE MEDICAL CENTRE,4
1042.54,14L,2014-11-01,269,8958,P84040,CONRAN MEDICAL CENTRE,4
1965.17,14L,2014-11-01,473,22935,P84041,CORNERSTONE FAMILY PRACTICE,4
1302.74,14L,2014-11-01,319,14009,P84042,FLORENCE HOUSE MEDICAL PRACTICE,4
2538.51,14L,2014-11-01,466,24628,P84043,CORNISHWAY GROUP PRACTICE,4
1440.43,14L,2014-11-01,350,16740,P84045,THE PARK MEDICAL CENTRE,4
1953.45,14L,2014-11-01,473,24314,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,4
2377.12,14L,2014-11-01,323,14405,P84047,DROYLSDEN RD FAMILY PRACTICE,4
1449.94,14L,2014-11-01,429,15989,P84048,TREGENNA GROUP PRACTICE,4
3454.9,14L,2014-11-01,874,37840,P84049,THE AVENUE MEDICAL CENTRE,4
1280.85,14L,2014-11-01,302,13708,P84050,MOUNT ROAD SURGERY,4
1347.49,14L,2014-11-01,309,12378,P84051,EASTLANDS MEDICAL CENTRE,4
1252.99,14L,2014-11-01,324,13890,P84052,WEST GORTON MEDICAL PRACTICE,4
1752.98,14L,2014-11-01,326,16042,P84053,ASHCROFT SURGERY,4
1849.84,14L,2014-11-01,462,17240,P84054,WHITLEY ROAD MEDICAL CENTRE,4
888.36,14L,2014-11-01,196,8411,P84055,MERSEYBANK SURGERY,4
799.04,14L,2014-11-01,222,10138,P84056,PRINCESS ROAD SURGERY,4
1782.27,14L,2014-11-01,439,19015,P84059,LIME SQUARE MEDICAL CENTRE,4
1270.14,14L,2014-11-01,223,9055,P84061,BROOKLANDS MEDICAL PRACTICE,4
315.06,14L,2014-11-01,117,4558,P84062,BROOKDALE SURGERY,4
980.74,14L,2014-11-01,216,7389,P84064,NEW ISLINGTON MEDICAL CENTRE,4
991.71,14L,2014-11-01,229,11740,P84065,THE SINGH MEDICAL PRACTICE,4
940.14,14L,2014-11-01,268,10998,P84066,DAVID MEDICAL CENTRE,4
2472.32,14L,2014-11-01,427,21170,P84067,HAZELDENE MEDICAL CENTRE,4
1408.82,14L,2014-11-01,286,13471,P84068,CHORLTON FAMILY PRACTICE,4
1120.27,14L,2014-11-01,271,13574,P84070,NEWTON HEATH MEDICAL CENTRE,4
1208.37,14L,2014-11-01,188,8469,P84071,WILBRAHAM SURGERY,4
2507.49,14L,2014-11-01,559,27604,P84072,THE ROBERT DARBISHIRE PRACTICE,4
2235.32,14L,2014-11-01,385,20840,P84074,WELLFIELD MEDICAL CENTRE,4
153.12,14L,2014-11-01,32,1090,P84605,FERNCLOUGH SURGERY,4
845.42,14L,2014-11-01,241,11871,P84611,"DR CHIU, KOH AND GAN",4
864.19,14L,2014-11-01,247,12689,P84616,MANCHESTER MEDICAL,4
38.81,14L,2014-11-01,29,1405,P84623,ALEESHAN MEDICAL CENTRE,4
819.72,14L,2014-11-01,227,9309,P84626,WILMSLOW ROAD SURGERY,4
269.3,14L,2014-11-01,88,3684,P84627,DR TIWARI'S PRACTICE,4
2270.6,14L,2014-11-01,346,16562,P84630,THE ARCH MEDICAL PRACTICE,4
783.68,14L,2014-11-01,117,5155,P84631,ARTANE MEDICAL CENTRE,4
367.97,14L,2014-11-01,109,6639,P84635,THE WHITSWOOD PRACTICE,4
562.33,14L,2014-11-01,161,8095,P84637,DR KHAN'S PRACTICE,4
351.49,14L,2014-11-01,88,4143,P84639,FALLOWFIELD MEDICAL CENTRE,4
877.07,14L,2014-11-01,152,7786,P84640,QUEENS MEDICAL CENTRE,4
801.62,14L,2014-11-01,198,11182,P84644,PARKSIDE SURGERY,4
1730.1,14L,2014-11-01,355,15949,P84645,PARK VIEW MEDICAL CENTRE,4
868.58,14L,2014-11-01,180,8583,P84650,THE ALEXANDRA PRACTICE,4
767.3,14L,2014-11-01,175,6996,P84651,NORTHERN MOOR MEDICAL PRACTICE,4
3010.25,14L,2014-11-01,296,14644,P84652,CORKLAND ROAD MEDICAL PRACTICE,4
2843.21,14L,2014-11-01,238,12483,P84663,THE NEVILLE FAMILY CENTRE,4
329.92,14L,2014-11-01,96,3900,P84665,AL-SHIFA MEDICAL CENTRE,4
1667.52,14L,2014-11-01,326,13882,P84669,CORNBROOK MEDICAL PRACTICE,4
1127.33,14L,2014-11-01,191,7589,P84672,WOODLANDS MEDICAL PRACTICE,4
2171.34,14L,2014-11-01,496,19946,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,4
997.68,14L,2014-11-01,188,11964,P84676,OSWALD ROAD MEDICAL PRACTICE,4
666.28,14L,2014-11-01,190,6928,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,4
2304.22,14L,2014-11-01,561,28728,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,4
199.37,14L,2014-11-01,70,3022,P84679,WILLOWBANK SURGERY,4
690.63,14L,2014-11-01,106,5101,P84682,BURNAGE HEALTHCARE PRACTICE,4
938.44,14L,2014-11-01,137,6311,P84683,THE DOC'S SURGERY,4
735.97,14L,2014-11-01,167,9295,P84684,JOLLY MEDICAL CENTRE,4
603.55,14L,2014-11-01,182,12254,P84689,LONGSIGHT MEDICAL PRACTICE,4
457.86,14L,2014-11-01,152,5093,P84690,DAM HEAD MEDICAL CENTRE,4
14.75,14L,2014-11-01,2,120,P84696,COMMUNITY PAEDIATRICIANS,9
2.48,14L,2014-11-01,2,35,Y00490,VIOLENT PATIENT ENHANCED SERVICE 1,9
1565.69,14L,2014-11-01,532,18248,Y00707,PCEC,1
41.09,14L,2014-11-01,5,190,Y01249,BUCCLEUCH LODGE ICF,0
545.52,14L,2014-11-01,149,6129,Y01695,MP VICTORIA MILL,4
26.74,14L,2014-11-01,14,305,Y02210,INTERMEDIATE CARE,9
131.05,14L,2014-11-01,37,1271,Y02211,GORTON PARKS INTERMEDIATE CARE UNIT,9
493.42,14L,2014-11-01,139,7563,Y02325,CHARLESTOWN MD,4
1022.35,14L,2014-11-01,41,7212,Y02330,NURSING HOME PROJECT TEAM (SOUTH),14
533.48,14L,2014-11-01,75,3682,Y02520,SIMPSON MEDICAL PRACTICE,4
4850.84,14L,2014-11-01,1044,68588,Y02591,GTD HEALTHCARE GP SERVICE OOH,2
2198.08,14L,2014-11-01,591,20051,Y02849,CITY HEALTH CENTRE,4
2055.02,14L,2014-11-01,513,28090,Y02890,HAWTHORN MC,4
892.92,14L,2014-11-01,213,13120,Y02960,NEW BANK HEALTH,4
3.15,14L,2014-11-01,3,39,Y03328,TURNING POINT SMITHFIELD SERVICE,9
4.29,14L,2014-11-01,3,35,Y04084,PAHNT COMMUNITY SERVICES,9
1.14,14L,2014-11-01,1,100,Y04085,MFT CHILDRENS COMMUNITY SERVICES,9
16.09,14L,2014-11-01,6,92,Y04086,MFT ADULT COMMUNITY SERVICES,9
4.06,14L,2014-11-01,1,30,Y04087,UHSM COMMUNITY SERVICES,9
10.81,14L,2014-11-01,5,92,Y04380,CRISIS RESPONSE TEAM,9
797.06,14L,2014-11-01,259,12937,Y04477,PRIMARY CARE MANCHESTER LIMITED,0
5.14,14L,2014-11-01,2,61,Y04584,INTERMEDIATE CARE (THE PEELE),0
76.47,14L,2014-11-01,12,240,Y04605,SMGPF,9
3031.1,14L,2014-12-01,507,22595,P84004,FIVE OAKS FAMILIY PRACTICE,4
856.15,14L,2014-12-01,246,10224,P84005,THE VALLANCE CENTRE,4
2535.63,14L,2014-12-01,438,25916,P84009,AILSA CRAIG MEDICAL CENTRE,4
2216.1,14L,2014-12-01,460,20335,P84010,THE BORCHARDT MEDICAL CENTRE,4
4249.1,14L,2014-12-01,890,41375,P84012,NORTHENDEN GROUP PRACTICE,4
1424.85,14L,2014-12-01,453,17831,P84014,RK MEDICAL PRACTICE,4
2748.25,14L,2014-12-01,563,32530,P84016,LEVENSHULME MEDICAL PRACTICE,4
2681.89,14L,2014-12-01,630,28458,P84017,LADYBARN GROUP PRACTICE,4
885.48,14L,2014-12-01,232,8551,P84018,MAULDETH MEDICAL CENTRE,4
4720.35,14L,2014-12-01,838,38340,P84019,VALENTINE MEDICAL CENTRE,4
2920.61,14L,2014-12-01,739,31370,P84020,PEEL HALL MEDICAL CENTRE,4
3359.05,14L,2014-12-01,630,29715,P84021,THE MAPLES MEDICAL CENTRE,4
1790.76,14L,2014-12-01,396,15853,P84022,KINGSWAY MEDICAL PRACTICE,4
1879.16,14L,2014-12-01,455,20889,P84023,SURREY LODGE PRACTICE,4
3754.02,14L,2014-12-01,880,43766,P84024,BOWLAND MEDICAL PRACTICE,4
2975.33,14L,2014-12-01,728,36228,P84025,ST GEORGE'S MEDICAL CENTRE,4
1161.21,14L,2014-12-01,304,18103,P84026,DICKENSON ROAD MEDICAL CENTRE,4
1546.46,14L,2014-12-01,331,15009,P84027,WEST POINT MEDICAL CENTRE,4
2496.34,14L,2014-12-01,729,30037,P84028,GORTON MEDICAL CENTRE,4
4610.8,14L,2014-12-01,943,48532,P84029,BENCHILL MEDICAL PRACTICE,4
4043.03,14L,2014-12-01,805,43422,P84030,NEW COLLEGIATE MEDICAL CENTRE,4
3810.84,14L,2014-12-01,438,23262,P84032,DRS HANIF & BANNURU,4
1211.55,14L,2014-12-01,237,12018,P84033,BEACON MEDICAL CENTRE,4
3501.46,14L,2014-12-01,594,31490,P84034,BARLOW MEDICAL CENTRE,4
3019.15,14L,2014-12-01,754,26682,P84035,BODEY MEDICAL CENTRE,4
1667.51,14L,2014-12-01,408,21826,P84037,DR CUNNINGHAM & PARTNERS,4
2242.14,14L,2014-12-01,360,22110,P84038,ASHVILLE SURGERY,4
928.03,14L,2014-12-01,215,12170,P84039,THE RANGE MEDICAL CENTRE,4
1783.98,14L,2014-12-01,413,17740,P84040,CONRAN MEDICAL CENTRE,4
2217.51,14L,2014-12-01,630,28302,P84041,CORNERSTONE FAMILY PRACTICE,4
1500.66,14L,2014-12-01,408,18367,P84042,FLORENCE HOUSE MEDICAL PRACTICE,4
3070.55,14L,2014-12-01,662,33097,P84043,CORNISHWAY GROUP PRACTICE,4
1627.34,14L,2014-12-01,476,19301,P84045,THE PARK MEDICAL CENTRE,4
2114.35,14L,2014-12-01,527,25063,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,4
1913.34,14L,2014-12-01,450,16565,P84047,DROYLSDEN RD FAMILY PRACTICE,4
1913.96,14L,2014-12-01,577,20873,P84048,TREGENNA GROUP PRACTICE,4
3906.84,14L,2014-12-01,1056,52896,P84049,THE AVENUE MEDICAL CENTRE,4
1723.81,14L,2014-12-01,372,18616,P84050,MOUNT ROAD SURGERY,4
1754.36,14L,2014-12-01,396,17621,P84051,EASTLANDS MEDICAL CENTRE,4
1515.09,14L,2014-12-01,445,20632,P84052,WEST GORTON MEDICAL PRACTICE,4
1729.99,14L,2014-12-01,400,21408,P84053,ASHCROFT SURGERY,4
2143.97,14L,2014-12-01,552,23665,P84054,WHITLEY ROAD MEDICAL CENTRE,4
1070.62,14L,2014-12-01,324,12919,P84055,MERSEYBANK SURGERY,4
1214.16,14L,2014-12-01,348,17669,P84056,PRINCESS ROAD SURGERY,4
2662.95,14L,2014-12-01,606,29125,P84059,LIME SQUARE MEDICAL CENTRE,4
1380.71,14L,2014-12-01,342,13360,P84061,BROOKLANDS MEDICAL PRACTICE,4
460.68,14L,2014-12-01,178,6989,P84062,BROOKDALE SURGERY,4
1009.08,14L,2014-12-01,225,8943,P84064,NEW ISLINGTON MEDICAL CENTRE,4
1191.02,14L,2014-12-01,301,13084,P84065,THE SINGH MEDICAL PRACTICE,4
1261.91,14L,2014-12-01,336,13867,P84066,DAVID MEDICAL CENTRE,4
2847.4,14L,2014-12-01,589,31680,P84067,HAZELDENE MEDICAL CENTRE,4
1612.72,14L,2014-12-01,374,16573,P84068,CHORLTON FAMILY PRACTICE,4
1504.9,14L,2014-12-01,359,17313,P84070,NEWTON HEATH MEDICAL CENTRE,4
1594.48,14L,2014-12-01,296,13003,P84071,WILBRAHAM SURGERY,4
2678.41,14L,2014-12-01,635,31460,P84072,THE ROBERT DARBISHIRE PRACTICE,4
2399.67,14L,2014-12-01,501,30894,P84074,WELLFIELD MEDICAL CENTRE,4
27.26,14L,2014-12-01,12,588,P84605,FERNCLOUGH SURGERY,4
1606.64,14L,2014-12-01,330,18602,P84611,"DR CHIU, KOH AND GAN",4
1227.88,14L,2014-12-01,326,16599,P84616,MANCHESTER MEDICAL,4
83.11,14L,2014-12-01,58,2355,P84623,ALEESHAN MEDICAL CENTRE,4
1022.22,14L,2014-12-01,343,14660,P84626,WILMSLOW ROAD SURGERY,4
373.99,14L,2014-12-01,132,6377,P84627,DR TIWARI'S PRACTICE,4
2166.61,14L,2014-12-01,383,18538,P84630,THE ARCH MEDICAL PRACTICE,4
833.38,14L,2014-12-01,169,7501,P84631,ARTANE MEDICAL CENTRE,4
771.34,14L,2014-12-01,170,8552,P84635,THE WHITSWOOD PRACTICE,4
606.32,14L,2014-12-01,182,8780,P84637,DR KHAN'S PRACTICE,4
463.02,14L,2014-12-01,64,3018,P84639,FALLOWFIELD MEDICAL CENTRE,4
1011.31,14L,2014-12-01,167,8837,P84640,QUEENS MEDICAL CENTRE,4
1447.58,14L,2014-12-01,271,15736,P84644,PARKSIDE SURGERY,4
2462.52,14L,2014-12-01,410,19662,P84645,PARK VIEW MEDICAL CENTRE,4
1531.58,14L,2014-12-01,291,14277,P84650,THE ALEXANDRA PRACTICE,4
677.21,14L,2014-12-01,189,7302,P84651,NORTHERN MOOR MEDICAL PRACTICE,4
3304.19,14L,2014-12-01,408,21956,P84652,CORKLAND ROAD MEDICAL PRACTICE,4
2669.3,14L,2014-12-01,319,13706,P84663,THE NEVILLE FAMILY CENTRE,4
295.93,14L,2014-12-01,154,5671,P84665,AL-SHIFA MEDICAL CENTRE,4
1527.53,14L,2014-12-01,367,16738,P84669,CORNBROOK MEDICAL PRACTICE,4
1673.25,14L,2014-12-01,298,12119,P84672,WOODLANDS MEDICAL PRACTICE,4
2609.86,14L,2014-12-01,657,26306,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,4
1161.38,14L,2014-12-01,267,14245,P84676,OSWALD ROAD MEDICAL PRACTICE,4
723.62,14L,2014-12-01,217,8477,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,4
2678.87,14L,2014-12-01,742,35530,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,4
270.98,14L,2014-12-01,100,4278,P84679,WILLOWBANK SURGERY,4
695.34,14L,2014-12-01,141,5938,P84682,BURNAGE HEALTHCARE PRACTICE,4
1112.4,14L,2014-12-01,178,7918,P84683,THE DOC'S SURGERY,4
781.25,14L,2014-12-01,189,9197,P84684,JOLLY MEDICAL CENTRE,4
1014.27,14L,2014-12-01,257,17088,P84689,LONGSIGHT MEDICAL PRACTICE,4
580.28,14L,2014-12-01,186,6628,P84690,DAM HEAD MEDICAL CENTRE,4
17.3,14L,2014-12-01,5,342,Y00490,VIOLENT PATIENT ENHANCED SERVICE 1,9
2428.36,14L,2014-12-01,716,28027,Y00707,PCEC,1
1.78,14L,2014-12-01,2,25,Y01249,BUCCLEUCH LODGE ICF,0
1896.59,14L,2014-12-01,178,8241,Y01695,MP VICTORIA MILL,4
76.35,14L,2014-12-01,14,278,Y02210,INTERMEDIATE CARE,9
1298.95,14L,2014-12-01,37,1318,Y02211,GORTON PARKS INTERMEDIATE CARE UNIT,9
544.41,14L,2014-12-01,135,7214,Y02325,CHARLESTOWN MD,4
777.18,14L,2014-12-01,81,10501,Y02330,NURSING HOME PROJECT TEAM (SOUTH),14
1160.12,14L,2014-12-01,222,10760,Y02520,SIMPSON MEDICAL PRACTICE,4
6431.02,14L,2014-12-01,1524,95842,Y02591,GTD HEALTHCARE GP SERVICE OOH,2
2927.0,14L,2014-12-01,854,31248,Y02849,CITY HEALTH CENTRE,4
